Site Name,Latitude,Longitude,Timestamp,Species,Sighting Count,Image URL
Station1,46.7005,7.76133,2024-10-08 23:20:25,Cricetidae,1,https://traptagger.co.uk/imageViewer?type=image&id=209255056
Station1,46.7005,7.76133,2024-10-08 23:20:25,None,0,https://traptagger.co.uk/imageViewer?type=image&id=209255004
Station1,46.7005,7.76133,2024-10-08 23:20:25,None,0,https://traptagger.co.uk/imageViewer?type=image&id=209255105
Station1,46.7005,7.76133,2024-10-09 02:21:14,None,0,https://traptagger.co.uk/imageViewer?type=image&id=209255092
Station1,46.7005,7.76133,2024-10-09 02:21:14,None,0,https://traptagger.co.uk/imageViewer?type=image&id=209255098
Station1,46.7005,7.76133,2024-10-09 02:21:15,None,0,https://traptagger.co.uk/imageViewer?type=image&id=209255078
Station1,46.7005,7.76133,2024-10-15 13:08:21,Vehicles/Humans/Livestock,1,https://traptagger.co.uk/imageViewer?type=image&id=209255086
Station1,46.7005,7.76133,2024-10-15 13:08:22,Vehicles/Humans/Livestock,1,https://traptagger.co.uk/imageViewer?type=image&id=209255038
Station1,46.7005,7.76133,2024-10-15 13:08:22,Vehicles/Humans/Livestock,1,https://traptagger.co.uk/imageViewer?type=image&id=209255071
Station1,46.7005,7.76133,2024-10-22 11:13:28,None,0,https://traptagger.co.uk/imageViewer?type=image&id=209255045
Station1,46.7005,7.76133,2024-10-22 11:13:28,None,0,https://traptagger.co.uk/imageViewer?type=image&id=209255064
Station1,46.7005,7.76133,2024-10-22 11:13:29,None,0,https://traptagger.co.uk/imageViewer?type=image&id=209255024
Station1,46.7005,7.76133,2024-10-24 03:15:00,None,0,https://traptagger.co.uk/imageViewer?type=image&id=209255051
Station1,46.7005,7.76133,2024-10-24 03:15:01,None,0,https://traptagger.co.uk/imageViewer?type=image&id=209255016
Station1,46.7005,7.76133,2024-10-24 03:15:01,None,0,https://traptagger.co.uk/imageViewer?type=image&id=209255030
Station1,46.7005,7.76133,2024-10-24 12:32:28,Vehicles/Humans/Livestock,2,https://traptagger.co.uk/imageViewer?type=image&id=209254993
Station1,46.7005,7.76133,2025-08-19 13:38:56,Vehicles/Humans/Livestock,2,https://traptagger.co.uk/imageViewer?type=image&id=250498028
Station1,46.7005,7.76133,2025-08-19 13:38:56,Vehicles/Humans/Livestock,2,https://traptagger.co.uk/imageViewer?type=image&id=250498030
Station1,46.7005,7.76133,2025-08-19 13:38:57,Vehicles/Humans/Livestock,2,https://traptagger.co.uk/imageViewer?type=image&id=250498019
Station1,46.7005,7.76133,2025-08-19 16:45:57,None,0,https://traptagger.co.uk/imageViewer?type=image&id=250498023
Station1,46.7005,7.76133,2025-08-19 16:45:58,None,0,https://traptagger.co.uk/imageViewer?type=image&id=250498026
Station1,46.7005,7.76133,2025-08-19 16:46:00,None,0,https://traptagger.co.uk/imageViewer?type=image&id=250498012
Station1,46.7005,7.76133,2025-08-19 20:02:44,Bird,1,https://traptagger.co.uk/imageViewer?type=image&id=250498021
Station1,46.7005,7.76133,2025-08-19 20:02:45,Bird,1,https://traptagger.co.uk/imageViewer?type=image&id=250498014
Station1,46.7005,7.76133,2025-08-19 20:02:46,Bird,1,https://traptagger.co.uk/imageViewer?type=image&id=250498016
Station1,46.7005,7.76133,2025-08-19 20:03:19,Bird,1,https://traptagger.co.uk/imageViewer?type=image&id=250497951
Station1,46.7005,7.76133,2025-08-19 20:03:20,None,0,https://traptagger.co.uk/imageViewer?type=image&id=250497980
Station1,46.7005,7.76133,2025-08-19 20:03:20,None,0,https://traptagger.co.uk/imageViewer?type=image&id=250497995
Station1,46.7005,7.76133,2025-08-19 21:51:44,Bird,2,https://traptagger.co.uk/imageViewer?type=image&id=250498010
Station1,46.7005,7.76133,2025-08-19 21:51:44,None,0,https://traptagger.co.uk/imageViewer?type=image&id=250497987
Station1,46.7005,7.76133,2025-08-19 21:51:45,Bird|Unknown,2|1,https://traptagger.co.uk/imageViewer?type=image&id=250498003
Station1,46.7005,7.76133,2025-08-19 21:52:49,Cricetidae,1,https://traptagger.co.uk/imageViewer?type=image&id=250497967
Station1,46.7005,7.76133,2025-08-19 21:52:49,Cricetidae,1,https://traptagger.co.uk/imageViewer?type=image&id=250497975
Station1,46.7005,7.76133,2025-08-19 21:52:50,Cricetidae,1,https://traptagger.co.uk/imageViewer?type=image&id=250497959
Station1,46.7005,7.76133,2025-08-20 05:19:01,Cricetidae,2,https://traptagger.co.uk/imageViewer?type=image&id=250497924
Station1,46.7005,7.76133,2025-08-20 05:19:02,Cricetidae,1,https://traptagger.co.uk/imageViewer?type=image&id=250497906
Station1,46.7005,7.76133,2025-08-20 05:19:02,Cricetidae,1,https://traptagger.co.uk/imageViewer?type=image&id=250497932
Station1,46.7005,7.76133,2025-08-20 05:20:41,None,0,https://traptagger.co.uk/imageViewer?type=image&id=250497940
Station1,46.7005,7.76133,2025-08-20 05:20:41,None,0,https://traptagger.co.uk/imageViewer?type=image&id=250497943
Station1,46.7005,7.76133,2025-08-20 05:20:42,None,0,https://traptagger.co.uk/imageViewer?type=image&id=250497908
Station1,46.7005,7.76133,2025-08-20 05:22:10,Bird,2,https://traptagger.co.uk/imageViewer?type=image&id=250497916
Station1,46.7005,7.76133,2025-08-20 05:22:11,Bird,1,https://traptagger.co.uk/imageViewer?type=image&id=250497898
Station1,46.7005,7.76133,2025-08-20 05:22:11,None,0,https://traptagger.co.uk/imageViewer?type=image&id=250497881
Station1,46.7005,7.76133,2025-08-20 14:58:14,Bird,1,https://traptagger.co.uk/imageViewer?type=image&id=250497873
Station1,46.7005,7.76133,2025-08-20 14:58:14,None,0,https://traptagger.co.uk/imageViewer?type=image&id=250497890
Station1,46.7005,7.76133,2025-08-20 14:58:15,Bird,1,https://traptagger.co.uk/imageViewer?type=image&id=250497853
Station1,46.7005,7.76133,2025-08-20 15:20:25,None,0,https://traptagger.co.uk/imageViewer?type=image&id=250497844
Station1,46.7005,7.76133,2025-08-20 15:20:26,None,0,https://traptagger.co.uk/imageViewer?type=image&id=250497794
Station1,46.7005,7.76133,2025-08-20 15:20:27,None,0,https://traptagger.co.uk/imageViewer?type=image&id=250497839
Station1,46.7005,7.76133,2025-08-20 15:42:01,Bird,1,https://traptagger.co.uk/imageViewer?type=image&id=250497814
Station1,46.7005,7.76133,2025-08-20 15:42:02,Bird,1,https://traptagger.co.uk/imageViewer?type=image&id=250497822
Station1,46.7005,7.76133,2025-08-20 15:42:03,None,0,https://traptagger.co.uk/imageViewer?type=image&id=250497831
Station1,46.7005,7.76133,2025-08-21 07:06:01,Bird,1,https://traptagger.co.uk/imageViewer?type=image&id=250497776
Station1,46.7005,7.76133,2025-08-21 07:06:01,Bird,1,https://traptagger.co.uk/imageViewer?type=image&id=250497807
Station1,46.7005,7.76133,2025-08-21 07:06:02,Bird,1,https://traptagger.co.uk/imageViewer?type=image&id=250497803
