Site Name,Latitude,Longitude,Timestamp,Species,Sighting Count,Image URL
Station1,0.0,0.0,2024-09-16 09:32:42,None,0,https://traptagger.co.uk/imageViewer?type=image&id=236769978
Station1,0.0,0.0,2024-09-16 09:32:42,None,0,https://traptagger.co.uk/imageViewer?type=image&id=236770003
Station1,0.0,0.0,2024-09-16 09:32:43,None,0,https://traptagger.co.uk/imageViewer?type=image&id=236769992
Station1,0.0,0.0,2024-09-16 20:20:47,Apodemus,1,https://traptagger.co.uk/imageViewer?type=image&id=236769974
Station1,0.0,0.0,2024-09-16 20:20:47,Apodemus,1,https://traptagger.co.uk/imageViewer?type=image&id=236770008
Station1,0.0,0.0,2024-09-16 20:20:48,Apodemus,1,https://traptagger.co.uk/imageViewer?type=image&id=236769986
Station1,0.0,0.0,2024-09-16 20:39:25,Apodemus,1,https://traptagger.co.uk/imageViewer?type=image&id=236772230
Station1,0.0,0.0,2024-09-16 20:39:26,Apodemus,1,https://traptagger.co.uk/imageViewer?type=image&id=236772265
Station1,0.0,0.0,2024-09-16 20:39:26,Apodemus,1,https://traptagger.co.uk/imageViewer?type=image&id=236772303
Station1,0.0,0.0,2024-09-16 20:56:56,Apodemus,2,https://traptagger.co.uk/imageViewer?type=image&id=236772249
Station1,0.0,0.0,2024-09-16 20:56:57,Apodemus,2,https://traptagger.co.uk/imageViewer?type=image&id=236772279
Station1,0.0,0.0,2024-09-16 20:56:57,Apodemus,3,https://traptagger.co.uk/imageViewer?type=image&id=236772290
Station1,0.0,0.0,2024-09-16 21:44:53,Apodemus,1,https://traptagger.co.uk/imageViewer?type=image&id=236772198
Station1,0.0,0.0,2024-09-16 21:44:53,None,0,https://traptagger.co.uk/imageViewer?type=image&id=236772207
Station1,0.0,0.0,2024-09-16 21:44:54,None,0,https://traptagger.co.uk/imageViewer?type=image&id=236772186
Station1,0.0,0.0,2024-09-17 00:03:33,None,0,https://traptagger.co.uk/imageViewer?type=image&id=236772145
Station1,0.0,0.0,2024-09-17 00:03:33,None,0,https://traptagger.co.uk/imageViewer?type=image&id=236772174
Station1,0.0,0.0,2024-09-17 00:03:34,None,0,https://traptagger.co.uk/imageViewer?type=image&id=236772161
Station1,0.0,0.0,2024-09-17 03:07:51,Apodemus,3,https://traptagger.co.uk/imageViewer?type=image&id=236772097
Station1,0.0,0.0,2024-09-17 03:07:51,Apodemus,1,https://traptagger.co.uk/imageViewer?type=image&id=236772150
Station1,0.0,0.0,2024-09-17 03:07:52,None,0,https://traptagger.co.uk/imageViewer?type=image&id=236772138
Station1,0.0,0.0,2024-09-17 03:21:57,Apodemus,1,https://traptagger.co.uk/imageViewer?type=image&id=236772112
Station1,0.0,0.0,2024-09-17 03:21:58,Apodemus,2,https://traptagger.co.uk/imageViewer?type=image&id=236772125
Station1,0.0,0.0,2024-09-23 11:50:29,None,0,https://traptagger.co.uk/imageViewer?type=image&id=236772006
Station1,0.0,0.0,2024-09-23 11:50:29,None,0,https://traptagger.co.uk/imageViewer?type=image&id=236772071
Station1,0.0,0.0,2024-09-23 11:50:30,None,0,https://traptagger.co.uk/imageViewer?type=image&id=236772054
