Site Name,Latitude,Longitude,Timestamp,Species,Sighting Count,Image URL
Station1,47.4109,8.49778,2024-08-19 09:00:58,Vehicles/Humans/Livestock,1,https://traptagger.co.uk/imageViewer?type=image&id=209438588
Station1,47.4109,8.49778,2024-08-19 09:00:58,Vehicles/Humans/Livestock,2,https://traptagger.co.uk/imageViewer?type=image&id=209438627
Station1,47.4109,8.49778,2024-08-19 09:00:59,Vehicles/Humans/Livestock,1,https://traptagger.co.uk/imageViewer?type=image&id=209438602
Station1,47.4109,8.49778,2024-08-19 09:01:21,Vehicles/Humans/Livestock,1,https://traptagger.co.uk/imageViewer?type=image&id=209438642
Station1,47.4109,8.49778,2024-08-19 09:01:22,Vehicles/Humans/Livestock,1,https://traptagger.co.uk/imageViewer?type=image&id=209438577
Station1,47.4109,8.49778,2024-08-19 09:01:22,Vehicles/Humans/Livestock,1,https://traptagger.co.uk/imageViewer?type=image&id=209438620
Station1,47.4109,8.49778,2024-08-19 09:01:52,Vehicles/Humans/Livestock,2,https://traptagger.co.uk/imageViewer?type=image&id=209438464
Station1,47.4109,8.49778,2024-08-19 09:01:53,Vehicles/Humans/Livestock,2,https://traptagger.co.uk/imageViewer?type=image&id=209438486
Station1,47.4109,8.49778,2024-08-19 09:01:53,Vehicles/Humans/Livestock,2,https://traptagger.co.uk/imageViewer?type=image&id=209438520
Station1,47.4109,8.49778,2024-08-19 22:19:48,None,0,https://traptagger.co.uk/imageViewer?type=image&id=209438549
Station1,47.4109,8.49778,2024-08-19 22:19:49,None,0,https://traptagger.co.uk/imageViewer?type=image&id=209438538
Station1,47.4109,8.49778,2024-08-19 22:19:49,None,0,https://traptagger.co.uk/imageViewer?type=image&id=209438557
Station1,47.4109,8.49778,2024-08-19 23:57:49,Apodemus,1,https://traptagger.co.uk/imageViewer?type=image&id=209438425
Station1,47.4109,8.49778,2024-08-19 23:57:49,Apodemus,1,https://traptagger.co.uk/imageViewer?type=image&id=209438498
Station1,47.4109,8.49778,2024-08-19 23:57:50,Apodemus,1,https://traptagger.co.uk/imageViewer?type=image&id=209438477
Station1,47.4109,8.49778,2024-08-20 00:12:17,Apodemus,1,https://traptagger.co.uk/imageViewer?type=image&id=209438445
Station1,47.4109,8.49778,2024-08-20 00:12:18,None,0,https://traptagger.co.uk/imageViewer?type=image&id=209438437
Station1,47.4109,8.49778,2024-08-20 00:12:18,None,0,https://traptagger.co.uk/imageViewer?type=image&id=209438510
Station1,47.4109,8.49778,2024-08-20 00:29:30,Apodemus,1,https://traptagger.co.uk/imageViewer?type=image&id=209438401
Station1,47.4109,8.49778,2024-08-20 00:29:31,Apodemus,1,https://traptagger.co.uk/imageViewer?type=image&id=209438362
Station1,47.4109,8.49778,2024-08-20 00:29:31,Apodemus,1,https://traptagger.co.uk/imageViewer?type=image&id=209438388
Station1,47.4109,8.49778,2024-08-20 00:54:59,None,0,https://traptagger.co.uk/imageViewer?type=image&id=209438305
Station1,47.4109,8.49778,2024-08-20 00:54:59,None,0,https://traptagger.co.uk/imageViewer?type=image&id=209438375
Station1,47.4109,8.49778,2024-08-20 00:55:00,None,0,https://traptagger.co.uk/imageViewer?type=image&id=209438412
Station1,47.4109,8.49778,2024-08-20 03:18:38,Apodemus,1,https://traptagger.co.uk/imageViewer?type=image&id=209438282
Station1,47.4109,8.49778,2024-08-20 03:18:38,Apodemus,1,https://traptagger.co.uk/imageViewer?type=image&id=209438337
Station1,47.4109,8.49778,2024-08-20 03:18:39,Apodemus,1,https://traptagger.co.uk/imageViewer?type=image&id=209438268
Station1,47.4109,8.49778,2024-08-20 04:01:13,None,0,https://traptagger.co.uk/imageViewer?type=image&id=209438293
Station1,47.4109,8.49778,2024-08-20 04:01:13,None,0,https://traptagger.co.uk/imageViewer?type=image&id=209438349
Station1,47.4109,8.49778,2024-08-20 04:01:14,None,0,https://traptagger.co.uk/imageViewer?type=image&id=209438256
Station1,47.4109,8.49778,2024-08-20 04:51:43,Apodemus,1,https://traptagger.co.uk/imageViewer?type=image&id=209438231
Station1,47.4109,8.49778,2024-08-20 04:51:43,Apodemus,1,https://traptagger.co.uk/imageViewer?type=image&id=209438243
Station1,47.4109,8.49778,2024-08-20 04:51:44,None,0,https://traptagger.co.uk/imageViewer?type=image&id=209438191
Station1,47.4109,8.49778,2024-08-20 05:26:49,Apodemus,1,https://traptagger.co.uk/imageViewer?type=image&id=209438217
Station1,47.4109,8.49778,2024-08-20 05:26:50,Apodemus,1,https://traptagger.co.uk/imageViewer?type=image&id=209438178
Station1,47.4109,8.49778,2024-08-20 05:26:50,Apodemus,1,https://traptagger.co.uk/imageViewer?type=image&id=209438205
Station1,47.4109,8.49778,2024-08-20 22:30:30,Apodemus,1,https://traptagger.co.uk/imageViewer?type=image&id=209438101
Station1,47.4109,8.49778,2024-08-20 22:30:30,Apodemus,1,https://traptagger.co.uk/imageViewer?type=image&id=209438168
Station1,47.4109,8.49778,2024-08-20 22:30:31,None,0,https://traptagger.co.uk/imageViewer?type=image&id=209438158
Station1,47.4109,8.49778,2024-08-21 02:05:16,Apodemus,1,https://traptagger.co.uk/imageViewer?type=image&id=209438145
Station1,47.4109,8.49778,2024-08-21 02:05:16,None,0,https://traptagger.co.uk/imageViewer?type=image&id=209438122
Station1,47.4109,8.49778,2024-08-21 02:05:17,None,0,https://traptagger.co.uk/imageViewer?type=image&id=209438134
Station1,47.4109,8.49778,2024-08-21 05:43:11,Apodemus,1,https://traptagger.co.uk/imageViewer?type=image&id=209438089
Station1,47.4109,8.49778,2024-08-21 05:43:12,None,0,https://traptagger.co.uk/imageViewer?type=image&id=209438067
Station1,47.4109,8.49778,2024-08-21 05:43:12,None,0,https://traptagger.co.uk/imageViewer?type=image&id=209438112
Station1,47.4109,8.49778,2024-08-26 09:11:31,Vehicles/Humans/Livestock,1,https://traptagger.co.uk/imageViewer?type=image&id=209438079
Station1,47.4109,8.49778,2024-08-26 09:11:31,None,0,https://traptagger.co.uk/imageViewer?type=image&id=209438044
Station1,47.4109,8.49778,2024-08-26 09:11:32,Vehicles/Humans/Livestock,2,https://traptagger.co.uk/imageViewer?type=image&id=209438035
Station1,47.4109,8.49778,2024-08-26 09:12:09,None,0,https://traptagger.co.uk/imageViewer?type=image&id=209441112
Station1,47.4109,8.49778,2024-08-26 09:12:09,None,0,https://traptagger.co.uk/imageViewer?type=image&id=209441139
Station1,47.4109,8.49778,2024-08-26 09:12:10,None,0,https://traptagger.co.uk/imageViewer?type=image&id=209438027
Station1,47.4109,8.49778,2024-08-27 00:40:04,Domestic Cat,1,https://traptagger.co.uk/imageViewer?type=image&id=209438054
Station1,47.4109,8.49778,2024-08-27 00:40:05,Domestic Cat,1,https://traptagger.co.uk/imageViewer?type=image&id=209441127
Station1,47.4109,8.49778,2024-08-27 00:40:05,Domestic Cat,1,https://traptagger.co.uk/imageViewer?type=image&id=209441164
Station1,47.4109,8.49778,2024-08-27 00:40:23,Domestic Cat,1,https://traptagger.co.uk/imageViewer?type=image&id=209441154
Station1,47.4109,8.49778,2024-08-27 00:40:24,Domestic Cat,1,https://traptagger.co.uk/imageViewer?type=image&id=209441058
Station1,47.4109,8.49778,2024-08-27 00:40:24,Domestic Cat,1,https://traptagger.co.uk/imageViewer?type=image&id=209441095
Station1,47.4109,8.49778,2024-08-27 00:40:44,Domestic Cat,1,https://traptagger.co.uk/imageViewer?type=image&id=209441080
Station1,47.4109,8.49778,2024-08-27 00:40:45,Domestic Cat,1,https://traptagger.co.uk/imageViewer?type=image&id=209441047
Station1,47.4109,8.49778,2024-08-27 00:40:45,Domestic Cat,1,https://traptagger.co.uk/imageViewer?type=image&id=209441068
Station1,47.4109,8.49778,2024-08-27 00:41:03,None,0,https://traptagger.co.uk/imageViewer?type=image&id=209441016
Station1,47.4109,8.49778,2024-08-27 00:41:03,None,0,https://traptagger.co.uk/imageViewer?type=image&id=209441032
Station1,47.4109,8.49778,2024-08-27 00:41:04,None,0,https://traptagger.co.uk/imageViewer?type=image&id=209440995
Station1,47.4109,8.49778,2024-09-02 09:07:43,None,0,https://traptagger.co.uk/imageViewer?type=image&id=209440968
Station1,47.4109,8.49778,2024-09-02 09:07:44,None,0,https://traptagger.co.uk/imageViewer?type=image&id=209440951
Station1,47.4109,8.49778,2024-09-02 09:07:44,None,0,https://traptagger.co.uk/imageViewer?type=image&id=209440981
Station1,47.4109,8.49778,2024-09-02 10:47:45,Sciuridae,1,https://traptagger.co.uk/imageViewer?type=image&id=209440907
Station1,47.4109,8.49778,2024-09-02 10:47:45,Sciuridae,1,https://traptagger.co.uk/imageViewer?type=image&id=209440935
Station1,47.4109,8.49778,2024-09-02 10:47:46,Sciuridae,1,https://traptagger.co.uk/imageViewer?type=image&id=209440923
Station1,47.4109,8.49778,2024-09-02 10:48:08,Sciuridae,1,https://traptagger.co.uk/imageViewer?type=image&id=209440891
Station1,47.4109,8.49778,2024-09-02 10:48:09,Sciuridae,1,https://traptagger.co.uk/imageViewer?type=image&id=209440865
Station1,47.4109,8.49778,2024-09-02 10:48:09,Sciuridae,1,https://traptagger.co.uk/imageViewer?type=image&id=209440877
Station1,47.4109,8.49778,2024-09-02 10:48:45,Sciuridae,2,https://traptagger.co.uk/imageViewer?type=image&id=209440818
Station1,47.4109,8.49778,2024-09-02 10:48:45,Sciuridae,1,https://traptagger.co.uk/imageViewer?type=image&id=209440849
