DateBag;Site;ID;Week;Station;TreatmentNr;DateSorting;SorterID;SpeciesTreatmentNr;Species;NbSeedStart;SeedsCount;DamagedSeedsCount;SignsPredation;Notes;
10.10.2024;BEA;MD&SG;1;1;2;18.02.2025;CT;5;Abies alba;25;25;0;;;
10.10.2024;BEA;MD&SG;1;1;2;18.02.2025;CT;5;Picea abies;120;120;0;;;
10.10.2024;BEA;MD&SG;1;1;1;17.02.2025;CT;5;Abies alba;25;24;1;Crack;;
10.10.2024;BEA;MD&SG;1;1;1;17.02.2025;CT;5;Picea abies;120;120;3;Hole;;
17.10.2024;BEA;SG&JK;2;1;1;20.01.2025;CT;5;Abies alba;25;25;2;Hole and Crack;;
17.10.2024;BEA;SG&JK;2;1;1;20.01.2025;CT;5;Picea abies;120;120;1;Crack;Part of seed missing;
17.10.2024;BEA;SG&JK;2;1;2;20.01.2025;CT;5;Abies alba;25;25;2;Hole;Ant in sample;
17.10.2024;BEA;SG&JK;2;1;2;20.01.2025;CT;5;Picea abies;120;120;0;;Ant in sample;
24.10.2024;BEA;MD;3;1;1;30.10.2024;CW;5;Abies alba;25;25;1;Hole;;
24.10.2024;BEA;MD;3;1;1;30.10.2024;CW;5;Picea abies;120;120;;;;
24.10.2024;BEA;MD;3;1;2;30.10.2024;CW;5;Abies alba;25;25;;;5 fagus sylvatica;
24.10.2024;BEA;MD;3;1;2;30.10.2024;CW;5;Picea abies;120;120;;;;
10.10.2024;BEA;MD&SG;1;2;2;18.02.2025;CT;5;Abies alba;25;24;1;Hole;Remains of hair and fur;
10.10.2024;BEA;MD&SG;1;2;2;18.02.2025;CT;5;Picea abies;120;120;1;Hole;Remains of hair and fur;
10.10.2024;BEA;MD&SG;1;2;1;17.02.2025;CT;5;Abies alba;25;25;1;Hole;;
10.10.2024;BEA;MD&SG;1;2;1;17.02.2025;CT;5;Picea abies;120;120;0;;;
17.10.2024;BEA;SG&JK;2;2;1;12.02.2025;CT;5;Abies alba;25;25;0;;Some seeds of different species & a lot of resin;
17.10.2024;BEA;SG&JK;2;2;1;12.02.2025;CT;5;Picea abies;120;120;0;;;
17.10.2024;BEA;SG&JK;2;2;2;12.02.2025;CT;5;Abies alba;25;25;0;;;
17.10.2024;BEA;SG&JK;2;2;2;12.02.2025;CT;5;Picea abies;120;120;0;;;
24.10.2024;BEA;MD;3;2;1;30.10.2024;CW;5;Abies alba;25;25;;;1 ant, 5 fagus sylvatica;
24.10.2024;BEA;MD;3;2;1;30.10.2024;CW;5;Picea abies;120;120;;;;
24.10.2024;BEA;MD;3;2;2;30.10.2024;CW;5;Abies alba;25;25;;;;
24.10.2024;BEA;MD;3;2;2;30.10.2024;CW;5;Picea abies;120;120;1;Hole;;
10.10.2024;BEA;MD&SG;1;3;2;21.01.2025;CT;5;Abies alba;25;25;0;;2 ants in sample;
10.10.2024;BEA;MD&SG;1;3;2;21.01.2025;CT;5;Picea abies;120;120;0;;2 ants in sample;
10.10.2024;BEA;MD&SG;1;3;1;17.02.2025;CT;5;Abies alba;25;25;0;;;
10.10.2024;BEA;MD&SG;1;3;1;17.02.2025;CT;5;Picea abies;120;120;1;Hole;;
17.10.2024;BEA;SG&JK;2;3;2;21.01.2025;CT;5;Abies alba;25;25;0;;Bug in sample;
17.10.2024;BEA;SG&JK;2;3;2;21.01.2025;CT;5;Picea abies;120;121;0;;Bug in sample;
17.10.2024;BEA;SG&JK;2;3;1;17.02.2025;CT;5;Abies alba;25;25;1;Hole;;
17.10.2024;BEA;SG&JK;2;3;1;17.02.2025;CT;5;Picea abies;120;121;0;;;
24.10.2024;BEA;MD;3;3;1;30.10.2024;CW;5;Abies alba;25;25;;;;
24.10.2024;BEA;MD;3;3;1;30.10.2024;CW;5;Picea abies;120;120;;;;
24.10.2024;BEA;MD;3;3;2;30.10.2024;CW;5;Abies alba;25;25;;;;
24.10.2024;BEA;MD;3;3;2;30.10.2024;CW;5;Picea abies;120;120;1;Hole;;
10.10.2024;BEA;MD&SG;1;4;1;20.01.2025;CT;5;Abies alba;25;25;0;;;
10.10.2024;BEA;MD&SG;1;4;1;20.01.2025;CT;5;Picea abies;120;120;0;;;
10.10.2024;BEA;MD&SG;1;4;2;20.01.2025;CT;5;Abies alba;25;25;0;;;
10.10.2024;BEA;MD&SG;1;4;2;20.01.2025;CT;5;Picea abies;120;120;0;;;
17.10.2024;BEA;SG&JK;2;4;1;12.02.2025;CT;5;Abies alba;25;25;0;;;
17.10.2024;BEA;SG&JK;2;4;1;12.02.2025;CT;5;Picea abies;120;120;0;;;
17.10.2024;BEA;SG&JK;2;4;2;12.02.2025;CT;5;Abies alba;25;25;0;;;
17.10.2024;BEA;SG&JK;2;4;2;12.02.2025;CT;5;Picea abies;120;120;0;;;
24.10.2024;BEA;MD;3;4;1;30.10.2024;CW;5;Abies alba;25;25;;;5 fagus sylvatica;
24.10.2024;BEA;MD;3;4;1;30.10.2024;CW;5;Picea abies;120;120;;;;
24.10.2024;BEA;MD;3;4;2;30.10.2024;CW;5;Abies alba;25;25;;;;
24.10.2024;BEA;MD;3;4;2;30.10.2024;CW;5;Picea abies;120;120;1;Crack;;
10.10.2024;BEA;MD&SG;1;5;1;18.02.2025;CT;5;Abies alba;25;25;0;;;
10.10.2024;BEA;MD&SG;1;5;1;18.02.2025;CT;5;Picea abies;120;122;0;;;
10.10.2024;BEA;MD&SG;1;5;2;17.02.2025;CT;5;Abies alba;25;25;0;;;
10.10.2024;BEA;MD&SG;1;5;2;17.02.2025;CT;5;Picea abies;120;124;3;Hole;;
17.10.2024;BEA;SG&JK;2;5;2;21.01.2025;CT;5;Abies alba;25;25;2;Crack;Bug in sample, Part of seeds missing;
17.10.2024;BEA;SG&JK;2;5;2;21.01.2025;CT;5;Picea abies;120;120;0;;Bug in sample;
17.10.2024;BEA;SG&JK;2;5;1;12.02.2025;CT;5;Abies alba;25;25;0;;;
