DateBag,Site,ID,Week,Station,TreatmentNr,DateSorting,SorterID,SpeciesTreatmentNr,Species,NbSeedStart,SeedsCount,DamagedSeedsCount,SignsPredation,Notes,SeedDebrisWeight
2025-09-11,BEA,EP,2,3,1,2025-11-17,CT,5,Abies alba,25,25,0,NA,NA,NA
2025-09-11,BEA,EP,2,3,1,2025-11-17,CT,5,Picea abies,120,120,0,NA,NA,NA
2025-09-11,BEA,EP,2,5,2,2025-11-17,CT,5,Abies alba,25,25,0,NA,NA,NA
2025-09-11,BEA,EP,2,5,2,2025-11-17,CT,5,Picea abies,120,119,0,NA,NA,NA
2025-09-11,BEA,EP,2,4,1,2025-11-17,CT,5,Abies alba,25,25,0,NA,NA,NA
2025-09-11,BEA,EP,2,4,1,2025-11-17,CT,5,Picea abies,120,120,0,NA,NA,NA
2025-09-11,BEA,EP,2,1,1,2025-11-17,CT,5,Abies alba,25,25,0,NA,NA,NA
2025-09-11,BEA,EP,2,1,1,2025-11-17,CT,5,Picea abies,120,120,0,NA,NA,NA
2025-09-11,BEA,EP,2,2,1,2025-11-17,CT,5,Abies alba,25,25,0,NA,NA,NA
2025-09-11,BEA,EP,2,2,1,2025-11-17,CT,5,Picea abies,120,122,0,NA,human error,NA
2025-09-10,VOR,EP,2,3,2,2025-11-17,CT,1,Abies alba,25,25,0,NA,NA,NA
2025-09-10,VOR,EP,2,3,2,2025-11-17,CT,1,Fagus sylvatica,5,5,0,NA,NA,NA
2025-09-10,VOR,EP,2,3,2,2025-11-17,CT,1,Picea abies,120,120,0,NA,NA,NA
2025-09-10,VOR,EP,2,7,2,2025-11-17,CT,1,Abies alba,25,25,0,NA,bag riped,NA
2025-09-10,VOR,EP,2,7,2,2025-11-17,CT,1,Fagus sylvatica,5,5,0,NA,bag riped,NA
2025-09-10,VOR,EP,2,7,2,2025-11-17,CT,1,Picea abies,120,120,0,NA,bag riped,NA
2025-09-10,VOR,EP,2,2,2,2025-11-17,CT,1,Abies alba,25,25,0,NA,NA,NA
2025-09-10,VOR,EP,2,2,2,2025-11-17,CT,1,Fagus sylvatica,5,5,0,NA,NA,NA
2025-09-10,VOR,EP,2,2,2,2025-11-17,CT,1,Picea abies,120,120,1,Hole,NA,NA
2025-09-10,VOR,EP,2,9,2,2025-11-17,CT,1,Abies alba,25,25,2,Hole and Crack,bag riped,NA
2025-09-10,VOR,EP,2,9,2,2025-11-17,CT,1,Fagus sylvatica,5,5,2,Hole,bag riped,NA
2025-09-10,VOR,EP,2,9,2,2025-11-17,CT,1,Picea abies,120,118,0,NA,"bag riped, 20 seeds with cracked coats",NA
2025-09-10,VOR,EP,2,1,2,2025-11-17,CT,1,Abies alba,25,25,0,NA,NA,NA
2025-09-10,VOR,EP,2,1,2,2025-11-17,CT,1,Fagus sylvatica,5,5,0,NA,NA,NA
2025-09-10,VOR,EP,2,1,2,2025-11-17,CT,1,Picea abies,120,120,0,NA,21 seeds with cracked coats,NA
2025-09-10,VOR,EP,2,6,2,2025-11-17,CT,1,Abies alba,25,25,0,NA,NA,NA
2025-09-10,VOR,EP,2,6,2,2025-11-17,CT,1,Fagus sylvatica,5,5,0,NA,NA,NA
2025-09-10,VOR,EP,2,6,2,2025-11-17,CT,1,Picea abies,120,119,0,NA,19 seeds with cracked coats,NA
2025-09-11,BEA,EP,2,5,1,2025-11-17,CT,5,Abies alba,25,25,0,NA,NA,NA
2025-09-11,BEA,EP,2,5,1,2025-11-17,CT,5,Picea abies,120,120,0,NA,NA,NA
2025-09-10,VOR,EP,2,4,2,2025-11-17,CT,1,Abies alba,25,25,0,NA,"one dung beetle, riped bag",NA
2025-09-10,VOR,EP,2,4,2,2025-11-17,CT,1,Fagus sylvatica,5,5,0,NA,"one dung beetle, riped bag",NA
2025-09-10,VOR,EP,2,4,2,2025-11-17,CT,1,Picea abies,120,120,0,NA,"one dung beetle, riped bag, 21 seeds with cracked coats",NA
2025-09-10,VOR,EP,2,8,2,2025-11-18,CT,1,Abies alba,25,25,0,NA,NA,NA
2025-09-10,VOR,EP,2,8,2,2025-11-18,CT,1,Fagus sylvatica,5,5,0,NA,NA,NA
2025-09-10,VOR,EP,2,8,2,2025-11-18,CT,1,Picea abies,120,120,0,NA,32 seeds with cracked coats,NA
2025-09-10,VOR,EP,2,10,2,2025-11-18,CT,1,Abies alba,25,25,0,NA,NA,NA
2025-09-10,VOR,EP,2,10,2,2025-11-18,CT,1,Fagus sylvatica,5,5,0,NA,NA,NA
2025-09-10,VOR,EP,2,10,2,2025-11-18,CT,1,Picea abies,120,121,0,NA,32 seeds with cracked coats,NA
2025-09-10,VOR,EP,2,5,2,2025-11-18,CT,1,Abies alba,25,25,0,NA,NA,NA
2025-09-10,VOR,EP,2,5,2,2025-11-18,CT,1,Fagus sylvatica,5,5,0,NA,NA,NA
2025-09-10,VOR,EP,2,5,2,2025-11-18,CT,1,Picea abies,120,120,0,NA,26 seeds with cracked coats,NA
2025-08-14,WAL,EP,2,8,2,2025-11-18,CT,1,Abies alba,25,25,0,NA,NA,NA
2025-08-14,WAL,EP,2,8,2,2025-11-18,CT,1,Fagus sylvatica,5,5,0,NA,NA,NA
2025-08-14,WAL,EP,2,8,2,2025-11-18,CT,1,Picea abies,120,120,0,NA,NA,NA
2025-08-14,WAL,EP,2,10,2,2025-11-18,CT,1,Abies alba,25,0,0,NA,human error,NA
2025-08-14,WAL,EP,2,10,2,2025-11-18,CT,1,Fagus sylvatica,5,5,1,Hole,NA,NA
2025-08-14,WAL,EP,2,10,2,2025-11-18,CT,1,Picea abies,120,120,0,NA,NA,NA
2025-08-14,WAL,EP,2,7,2,2025-11-18,CT,1,Abies alba,25,0,0,NA,human error?,NA
2025-08-14,WAL,EP,2,7,2,2025-11-18,CT,1,Fagus sylvatica,5,5,0,NA,NA,NA
2025-08-14,WAL,EP,2,7,2,2025-11-18,CT,1,Picea abies,120,120,0,NA,NA,NA
2025-08-14,WAL,EP,2,6,2,2025-11-18,CT,1,Abies alba,25,25,0,NA,NA,NA
2025-08-14,WAL,EP,2,6,2,2025-11-18,CT,1,Fagus sylvatica,5,5,0,NA,NA,NA
2025-08-14,WAL,EP,2,6,2,2025-11-18,CT,1,Picea abies,120,120,0,NA,NA,NA
2025-08-14,WAL,EP,2,9,2,2025-11-18,CT,1,Abies alba,25,25,0,NA,NA,NA
2025-08-14,WAL,EP,2,9,2,2025-11-18,CT,1,Fagus sylvatica,5,5,0,NA,NA,NA
2025-08-14,WAL,EP,2,9,2,2025-11-18,CT,1,Picea abies,120,120,0,NA,NA,NA
2025-09-17,VOR,EP,3,10,2,2025-11-24,CT,1,Abies alba,25,25,0,NA,NA,NA
2025-09-17,VOR,EP,3,10,2,2025-11-24,CT,1,Fagus sylvatica,5,5,0,NA,NA,NA
2025-09-17,VOR,EP,3,10,2,2025-11-24,CT,1,Picea abies,120,120,0,NA,NA,NA
2025-09-17,VOR,EP,3,9,2,2025-11-24,CT,1,Abies alba,25,25,0,NA,NA,NA
2025-09-17,VOR,EP,3,9,2,2025-11-24,CT,1,Fagus sylvatica,5,5,0,NA,NA,NA
2025-09-17,VOR,EP,3,9,2,2025-11-24,CT,1,Picea abies,120,120,0,NA,NA,NA
2025-09-17,VOR,EP,3,7,2,2025-11-24,CT,1,Abies alba,25,25,0,NA,NA,NA
2025-09-17,VOR,EP,3,7,2,2025-11-24,CT,1,Fagus sylvatica,5,5,0,NA,NA,NA
2025-09-17,VOR,EP,3,7,2,2025-11-24,CT,1,Picea abies,120,120,0,NA,NA,NA
2025-09-17,VOR,EP,3,8,2,2025-11-24,CT,1,Abies alba,25,25,0,NA,NA,NA
2025-09-17,VOR,EP,3,8,2,2025-11-24,CT,1,Fagus sylvatica,5,5,0,NA,NA,NA
2025-09-17,VOR,EP,3,8,2,2025-11-24,CT,1,Picea abies,120,119,0,NA,NA,NA
2025-09-11,BEA,EP,2,4,2,2025-11-24,CT,5,Abies alba,25,25,0,NA,bag riped,NA
2025-09-11,BEA,EP,2,4,2,2025-11-24,CT,5,Picea abies,120,118,0,NA,bag riped,NA
2025-09-11,BEA,EP,2,3,2,2025-11-24,CT,5,Abies alba,25,25,0,NA,NA,NA
2025-09-11,BEA,EP,2,3,2,2025-11-24,CT,5,Picea abies,120,120,0,NA,NA,NA
2025-09-11,BEA,EP,2,6,2,2025-11-24,CT,5,Abies alba,25,25,0,NA,NA,NA
2025-09-11,BEA,EP,2,6,2,2025-11-24,CT,5,Picea abies,120,119,0,NA,NA,NA
2025-09-11,BEA,EP,2,10,2,2025-11-24,CT,5,Abies alba,25,24,0,NA,NA,NA
2025-09-11,BEA,EP,2,10,2,2025-11-24,CT,5,Picea abies,120,119,0,NA,NA,NA
2025-09-11,BEA,EP,2,2,2,2025-11-24,CT,5,Abies alba,25,25,0,NA,NA,NA
2025-09-11,BEA,EP,2,2,2,2025-11-24,CT,5,Picea abies,120,118,0,NA,NA,NA
2025-09-11,BEA,EP,2,8,2,2025-11-24,CT,5,Abies alba,25,25,0,NA,NA,NA
2025-09-11,BEA,EP,2,8,2,2025-11-24,CT,5,Picea abies,120,120,0,NA,NA,NA
2025-09-11,BEA,EP,2,9,2,2025-11-24,CT,5,Abies alba,25,25,0,NA,NA,NA
2025-09-11,BEA,EP,2,9,2,2025-11-24,CT,5,Picea abies,120,119,0,NA,NA,NA
2025-09-11,BEA,EP,2,7,2,2025-11-24,CT,5,Abies alba,25,25,0,NA,NA,NA
2025-09-11,BEA,EP,2,7,2,2025-11-24,CT,5,Picea abies,120,120,0,NA,NA,NA
2025-09-11,BEA,EP,2,1,2,2025-11-24,CT,5,Abies alba,25,25,0,NA,NA,NA
2025-09-11,BEA,EP,2,1,2,2025-11-24,CT,5,Picea abies,120,120,0,NA,NA,NA
