Year;Season;Site;Station;Species;Filled_seeds;Unfilled_seeds;Half_seeds;Cones;Cones_filled_seeds;Cones_unfilled_seeds;Notes;Sorter;Error_check;Sorter2
2025;Spring;NAT;4;Pinus mugo;12;40;0;1;0;22;;FL;75;FL
2025;Spring;BEA;7;Picea abies;5;2;0;2;36;45;;FL;90;FL
2025;Spring;CEL;9;Pinus cembra;2;1;7;0;0;0;;FL;10;FL
2025;Spring;CEL;9;Larix decidua;1;4;0;0;0;0;;FL;5;FL
2025;Spring;BET;10;Picea abies;3;1;0;0;0;0;;FL;4;FL
2025;Spring;NAT;3;Pinus mugo;10;4;9;1;0;0;;FL;24;FL
2025;Spring;NAT;2;Pinus mugo;6;2;12;0;0;0;;FL;20;FL
2025;Spring;NAT;1;Pinus mugo;29;10;34;0;0;0;;FL;73;FL
2025;Spring;NAT;5;Pinus mugo;6;1;4;0;0;0;;FL;11;FL
2025;Spring;NAT;6;Pinus mugo;16;8;17;0;0;0;;FL;41;FL
2025;Spring;NAT;7;Pinus mugo;13;5;16;0;0;0;;FL;34;FL
2025;Spring;NAT;8;Pinus mugo;14;7;4;0;0;0;;FL;25;FL
2025;Spring;NAT;9;Pinus mugo;12;5;15;0;0;0;;FL;32;FL
2025;Spring;NAT;10;Pinus mugo;9;12;17;0;0;0;;FL;38;FL
2025;Spring;BEA;9;Picea abies;7;5;0;1;9;90;;FL;112;FL
2025;Spring;CEL;7;Pinus cembra;0;2;0;0;0;0;seeds destroyed;FL;2;FL
2025;Spring;CEL;7;Larix decidua;4;4;1;0;0;0;;FL;9;FL
2025;Spring;CEL;8;Larix decidua;13;9;0;0;0;0;;FL;22;FL
2025;Spring;CEL;8;Pinus cembra;3;0;5;1;1;1;;FL;11;FL
2025;Spring;CEL;10;Pinus cembra;0;4;4;0;0;0;;FL;8;FL
2025;Spring;CEL;1;Larix decidua;16;14;0;0;0;0;;FL;30;FL
2025;Spring;CEL;1;Pinus cembra;0;2;0;0;0;0;;FL;2;FL
2025;Spring;CEL;2;Larix decidua;16;9;0;0;0;0;;FL;25;FL
2025;Spring;CEL;2;Pinus cembra;2;4;0;0;0;0;;FL;6;FL
2025;Spring;CEL;2;Corylus avellana;0;2;0;0;0;0;not sure what it is exactly but looks like a squished corylus avellana;FL;2;FL
2025;Spring;CEL;3;Pinus cembra;0;7;0;0;0;0;seeds destroyed;FL;7;FL
2025;Spring;CEL;3;Larix decidua;2;0;0;0;0;0;;FL;2;FL
2025;Spring;CEL;4;Pinus cembra;0;5;0;0;0;0;;FL;5;FL
2025;Spring;CEL;4;Larix decidua;2;0;0;0;0;0;;FL;2;FL
2025;Spring;CEL;5;Larix decidua;2;2;0;0;0;0;;FL;4;FL
2025;Spring;CEL;5;Pinus cembra;0;~2;0;0;0;0;seeds destroyed;FL;0;FL
2025;Spring;BET;9;Picea abies;7;1;0;1;0;0;;FL;9;FL
2025;Spring;BET;8;Picea abies;29;16;0;2;93;95;;FL;235;FL
2025;Spring;BET;7;Picea abies;7;11;0;0;0;0;;FL;18;FL
2025;Spring;BET;7;Abies alba;0;1;0;0;0;0;no cones, just some scales and a piece of Fagus sylvatica cone;FL;1;FL
2025;Spring;BET;6;Picea abies;12;3;0;0;0;0;;FL;15;FL
2025;Spring;BET;5;Abies alba;1;2;0;0;0;0;;FL;3;FL
2025;Spring;BET;5;Picea abies;15;21;0;1;27;136;;FL;200;FL
2025;Spring;BET;4;Picea abies;11;6;0;0;0;0;;FL;17;FL
2025;Spring;BET;4;Acer pseudoplatanus;0;2;0;0;0;0;;FL;2;FL
2025;Spring;BET;3;Picea abies;3;4;0;0;0;0;;FL;7;FL
2025;Spring;BET;3;Abies alba;1;0;0;0;0;0;;FL;1;FL
2025;Spring;BET;2;Picea abies;7;0;0;0;0;0;;FL;7;FL
2025;Spring;BET;2;Fagus sylvatica;0;0;0;1;0;0;no seeds, just a cone;FL;1;FL
2025;Spring;BET;1;Picea abies;3;1;0;0;0;0;;FL;4;FL
2025;Spring;BET;1;Abies alba;0;1;0;0;0;0;;FL;1;FL
2025;Spring;BET;1;Ilex aquifolium;1;0;0;0;0;0;;FL;1;FL
2025;Spring;VOR;3;Abies alba;19;24;0;~ 1;0;4;just some scales, maybe make up 1 cone in total;FL;47;FL
2025;Spring;VOR;3;Picea abies;1;0;0;1;23;30;;FL;55;FL
2025;Spring;CEL;6;Larix decidua;8;2;0;0;0;0;;FL;10;FL
2025;Spring;CEL;6;Pinus cembra;0;2;0;0;0;0;;FL;2;FL
2025;Spring;SCH;1;Acer pseudoplatanus;3;7;0;0;0;0;;RK;10;RK
2025;Spring;SCH;1;Fraxinus excelsior;0;1;0;0;0;0;;RK;1;RK
2025;Spring;SCH;1;Larix decidua;0;1;0;0;0;0;;RK;1;RK
2025;Spring;SCH;3;Fagus sylvatica;1;2;0;1;0;0;;RK;4;RK
2025;Spring;SCH;3;Acer pseudoplatanus;5;8;0;0;0;0;;RK;13;RK
2025;Spring;SCH;3;Abies alba;0;1;0;0;0;0;;RK;1;RK
2025;Spring;SCH;5;Fagus sylvatica;0;0;0;1;0;0;;RK;1;RK
2025;Spring;SCH;5;Acer pseudoplatanus;3;6;0;0;0;0;;RK;9;RK
2025;Spring;SCH;5;Larix decidua;1;0;0;0;0;0;;RK;1;RK
